hadithNumber,englishNarrator,hadithEnglish,chapterEnglish,bookName,volume,status
5002,Narrated `Abdullah (bin Mas`ud) رضی اللہ عنہما :,"By Allah other than Whom none has the right to be worshipped! There is no Sura revealed in Allah's Book but I know at what place it was revealed; and there is no Verse revealed in Allah's Book but I know about whom it was revealed. And if I know that there is somebody who knows Allah's Book better than I, and he is at a place that camels can reach, I would go to him.",Virtues of the Qur'an,Sahih Bukhari,6,Sahih
5003,Narrated Qatada:,"I asked Anas bin Malik رضی اللہ عنہ : ""Who collected the Qur'an at the time of the Prophet (ﷺ) ?"" He replied, ""Four, all of whom were from the Ansar: Ubai bin Ka`b, Mu`adh bin Jabal, Zaid bin Thabit and Abu Zaid."" Fadl, Husain bin Waqid, Thumah reported likewise from Hdrat Anas رضی اللہ عنہ .",Virtues of the Qur'an,Sahih Bukhari,6,Sahih
5004,Narrated Anas bin Malik:,"When the Prophet (ﷺ) died, none had collected the Qur'an but four persons;: Abu Ad-Darda'. Mu`adh bin Jabal, Zaid bin Thabit and Abu Zaid. We were the inheritor (of Abu Zaid رضی اللہ عنہم ) as he had no offspring .",Virtues of the Qur'an,Sahih Bukhari,6,Sahih
5005,Narrated Ibn `Abbas رضی اللہ عنہما :,"`Umar رضی اللہ عنہ said, Ubai was the best of us in the recitation (of the Qur'an) yet we leave some of what he recites.' Ubai says, 'PI have taken it from the mouth of Allah's Messenger (ﷺ) and will not leave for anything whatever."" But Allah said ""None of Our Revelations do We abrogate or cause to be forgotten but We substitute something better or similar."" 2.106",Virtues of the Qur'an,Sahih Bukhari,6,Sahih
5006,Narrated Abu Sa`id Al-Mu'alla رضی اللہ عنہ :,"While I was praying, the Prophet (ﷺ) called me but I did not respond to his call. Later I said, ""O Allah's Apostle! I was praying."" He said, ""Didn't Allah say: 'O you who believe! Give your response to Allah (by obeying Him) and to His Apostle when he calls you'?"" (8.24) He then said, ""Shall I not teach you the most superior Surah in the Qur'an?"" He said, '(It is), 'Praise be to Allah, the Lord of the worlds. ' (i.e., Surat Al-Fatiha) which consists of seven repeatedly recited Verses and the Magnificent Qur'an which was given to me.""",Virtues of the Qur'an,Sahih Bukhari,6,Sahih
5007,Narrated Abu Sa`id Al-Khudri رضی اللہ عنہ :,"While we were on one of our journeys, we dismounted at a place where a slave girl came and said, ""The chief of this tribe has been stung by a scorpion and our men are not present; is there anybody among you who can treat him (by reciting something)?"" Then one of our men went along with her though we did not think that he knew any such treatment. But he treated the chief by reciting something, and the sick man recovered whereupon he gave him thirty sheep and gave us milk to drink (as a reward). When he returned, we asked our friend, ""Did you know how to treat with the recitation of something?"" He said, ""No, but I treated him only with the recitation of the Mother of the Book (i.e., Al-Fatiha)."" We said, ""Do not say anything (about it) till we reach or ask the Prophet (ﷺ) so when we reached Medina, we mentioned that to the Prophet (in order to know whether the sheep which we had taken were lawful to take or not). The Prophet (ﷺ) said, ""How did he come to know that it (Al-Fatiha) could be used for treatment? Distribute your reward and assign for me one share thereof as well."" Mamar, Abdul Warith, Hisham, Mummad bin Sireen also reported it from Hadrat Abu Saeed Khudri رضی اللہ عنہ .",Virtues of the Qur'an,Sahih Bukhari,6,Sahih
5008,Narrated Abu Mas'ud رضی اللہ عنہ :,"The prophet ﷺ said, Whoever recites two verses ... (text as in the following hadith)",Virtues of the Qur'an,Sahih Bukhari,6,Sahih
5009,Narrated Abu Mas'ud رضی اللہ عنہ :,"The Prophet (ﷺ) said, ""If somebody recited the last two Verses of Surat Al-Baqara at night, that will be sufficient for him.""",Virtues of the Qur'an,Sahih Bukhari,6,Sahih
5010,Narrated Abu Huraira رضی اللہ عنہ :,"Allah's Messenger (ﷺ) ordered me to guard the Zakat revenue of Ramadan. Then somebody came to me and started stealing from the foodstuff. I caught him and said, ""I will take you to Allah's Messenger (ﷺ)!"" Then Abu Huraira described the whole narration and said: That person said (to me), ""(Please don't take me to Allah's Messenger (ﷺ) and I will tell you a few words by which Allah will benefit you.) When you go to your bed, recite Ayat-al-Kursi, (2.255) for then there will be a guard from Allah who will protect you all night long, and Satan will not be able to come near you till dawn."" (When the Prophet (ﷺ) heard the story) he said (to me), ""He (who came to you at night) told you the truth although he is a liar; and it was Satan.""",Virtues of the Qur'an,Sahih Bukhari,6,Sahih
5011,Narrated Al-Bara' رضی اللہ عنہ :,"A man was reciting Surat Al-Kahf and his horse was tied with two ropes beside him. A cloud came down and spread over that man, and it kept on coming closer and closer to him till his horse started jumping (as if afraid of something). When it was morning, the man came to the Prophet, and told him of that experience. The Prophet (ﷺ) said, ""That was As-Sakina (tranquility) which descended because of (the recitation of) the Qur'an.""",Virtues of the Qur'an,Sahih Bukhari,6,Sahih
