hadithNumber,englishNarrator,hadithEnglish,chapterEnglish,bookName,volume,status
2975,,This hadith has been narrated on the authority of Mutarrif with the same chain of transmitters.,The Book of Pilgrimage,Sahih Muslim,3,Sahih
2976,Mutarrif reported:,"'Imran bin Husain رضی اللہ تعالیٰ عنہ sent for me during his illness of which he died, and said: I am narrating to you some ahadith which may benefit you after me. If I live you conceal (the fact that these have been transmitted by me), and if I die, then you narrate them if you like (and these are): I am blessed, and bear in mind that the Messenger of Allah ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) combined Hajj and Umra. Then no verse was revealed in regard to it in the Book of Allah (which abrogated it) and the Messenger of Allah ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) did not forbid (from doing it). And whatever a person (, Umar) said was out of his personal opinion.",The Book of Pilgrimage,Sahih Muslim,3,Sahih
2977,Imran bin al-Husain ( رضی اللہ تعالیٰ عنہ) said:,"Know well that Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) combined 'Hajj and 'Umra, and nothing was revealed in the Book (to abrogate it), and the Messenger of Allah ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) too did not forbid us from (combining) them. And whatever a person said was out of his personal opinion.",The Book of Pilgrimage,Sahih Muslim,3,Sahih
2978,Imran bin Husain ( رضی اللہ تعالیٰ عنہ) reported:,"We performed Tamattu' (Hajj and 'Umra combining together) in the company of Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌), and nothing was revealed in the Qur'an (concerning the abrogation of this practice), and whatever a person (Hadhrat 'Umar) said was his personal opinion.",The Book of Pilgrimage,Sahih Muslim,3,Sahih
2979,Imran bin Husain رضی اللہ تعالیٰ عنہ narrated this hadith (in these words also):,Allah's Apostle ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) performed Hajj Tamattu' and we also performed it along with him.,The Book of Pilgrimage,Sahih Muslim,3,Sahih
2980,Imran bin Husain رضی اللہ عنہ said:,"There was revealed the verse of Tamattu' in Hajj in the Book of Allah and the Messenger of Allah ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) commanded us to perform it. and then no verse was revealed abrogating the Tamattu' (form of Hajj), and the Messenger of Allah ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) did not forbid to do it till he died. So whatever a person said was his personal opinion.",The Book of Pilgrimage,Sahih Muslim,3,Sahih
2981,,"A hadith like this is transmitted on the authority of Imran bin Husain, but with this variation that he ('Imran) said: We did that (Tamattu') in the company of Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) and he did not say anything but he (the Holy Prophet) commanded us to do it.",The Book of Pilgrimage,Sahih Muslim,3,Sahih
2982,Abdullah bin 'Umar ( رضی اللہ تعالیٰ عنہ) reported:,"Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) observed Tamattu' in Hajjat-ul-Wada'. He first put on Ihram for 'Umra and then for Hajj. and then offered animal sacrifice. So he drove the sacrificial animals with him from Dhu'l-Hulaifa. Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) commenced Ihram of Umra and thus pronounced Talbiya for 'Umra. and then (put on Ihram for Hajj) and pronounced Talbiya for Hajj. And the people performed Tamattu' in the company of Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ). They put on Ihram for Umra (first) and then for Hajj. Some of them had sacrificial animals which they had brought with them, whereas some of them had none to sacrifice. So when Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) came to Mecca, he said to the people: He who amongst you has brought sacrificial animals along with him must not treat as lawful anything which has become unlawful for him till he has completed the Hajj; and he, who amongst you has not brought the sacrificial animals should circumambulate the House, and run between al-Safa' and al-Marwa and clip (his hair) and put off the Ihram, and then again put on the Ihram for Hajj and offer sacrifice of animals. But he who does not find the sacrificial animal, he should observe fast for three days during the Hajj and for seven days when he returns to his family. Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) circumambulated (the House) when he came to Mecca: he first kissed the corner (of the Ka'ba containing the Black Stone), then ran in three circuits out of seven and walked in four circuits. And then when he had finished the circumambulation of the House he observed two rak'ahs of prayer at the Station (of Ibrahim), and then pronounced Salaam (for concluding the rak'ahs), and departed and came to al-Safa' and ran seven times between al-Safa' and al-Marwa. After that he did not treat anything as lawful which had become unlawful till he had completed his Hajj and sacrificed his animal on the day of sacrifice (10th of Dhu'l-Hijja). and then went back quickly (to Mecca) and performed circumambulation of the House (known as tawaf ifada) after which all that was unlawful for him became lawful; and those who had brought the sacrificial animals along with them did as Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ) had done.",The Book of Pilgrimage,Sahih Muslim,3,Sahih
2983,"It was narrated that of 'Urwah bin Zubair, that A'isha رضی اللہ تعالیٰ عنہا wife of Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌):","The Messenger of Allah's ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) followed 'Umrah with Hajj (Tamattu'). And the people did Tamattu' with him, as was informed to me by Salim bin Abdullah from Abdullah رضی اللہ تعالیٰ عنہ from the Messenger of Allah's ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌).",The Book of Pilgrimage,Sahih Muslim,3,Sahih
2984,"Hafsa (رضی اللہ تعالیٰ عنہا), the wife of Allah's Apostle ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ), said:","O Messenger of Allah. what about people who have put off Ihram whereas you have not put it off after your 'Umra? He said: I have stuck my hair and have driven my sacrificial animal, and would not, therefore, put off Ihram until I have sacrificed the animal.",The Book of Pilgrimage,Sahih Muslim,3,Sahih
